Suburb,Rooms,Type,SellerG,Date,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Regionname,Propertycount,Price
Carnegie,3,u,Ray,03-09-2016,11.4,3163,3,1,2,50,96,1989,Southern Metropolitan,7822,820000
Carnegie,2,t,Gary,03-09-2016,11.4,3163,2,2,1,133,104,2009,Southern Metropolitan,7822,795000
Caulfield,2,u,Gary,03-09-2016,8.9,3162,2,1,1,50,100,1960,Southern Metropolitan,2379,722500
Caulfield North,3,h,McGrath,03-09-2016,8.1,3161,3,1,0,513,,,Southern Metropolitan,6923,1365000
Caulfield North,3,h,Marshall,03-09-2016,8.1,3161,3,2,2,692,313,1955,Southern Metropolitan,6923,1750000
Caulfield South,3,h,hockingstuart,03-09-2016,9.3,3162,3,2,2,357,144,1935,Southern Metropolitan,5051,1577500
Caulfield South,4,h,Gary,03-09-2016,9.3,3162,,,,,,,Southern Metropolitan,5051,1802000
Chadstone,3,t,Buxton,03-09-2016,13.6,3148,3,2,1,182,,,Southern Metropolitan,3582,752000
Chadstone,2,u,Buxton,03-09-2016,13.6,3148,,,,,,,Southern Metropolitan,3582,670000
Clifton Hill,3,h,Nelson,03-09-2016,3.4,3068,3,2,0,187,,,Northern Metropolitan,2954,1270000
Coburg,2,h,Brad,03-09-2016,7.8,3058,2,1,1,371,93,1930,Northern Metropolitan,11204,850000
Coburg,3,h,Nelson,03-09-2016,7.8,3058,2,1,1,286,110,1890,Northern Metropolitan,11204,784000
Coburg North,3,h,Nelson,03-09-2016,9.2,3058,,,,,,,Northern Metropolitan,3445,845000
Collingwood,2,t,Jellis,03-09-2016,1.6,3066,2,1,1,115,,,Northern Metropolitan,4553,750000
Collingwood,2,h,LITTLE,03-09-2016,1.6,3066,2,1,1,178,70,1900,Northern Metropolitan,4553,890000
Collingwood,2,u,Jellis,03-09-2016,1.6,3066,2,1,1,50,129,1900,Northern Metropolitan,4553,1260000
Collingwood,2,u,Nelson,03-09-2016,1.6,3066,2,1,1,2886,122,1930,Northern Metropolitan,4553,855000
Doncaster,4,h,Barry,03-09-2016,13.9,3108,4,4,2,1157,,,Eastern Metropolitan,9028,1924500
Doncaster,4,h,Barry,03-09-2016,13.9,3108,,,,,,,Eastern Metropolitan,9028,1416000
Doncaster,2,u,Barry,03-09-2016,13.9,3108,2,1,1,65,,1975,Eastern Metropolitan,9028,492500
Elsternwick,2,h,Gary,03-09-2016,8.5,3185,2,1,2,239,110,1940,Southern Metropolitan,4898,900000
Elwood,1,u,Chisholm,03-09-2016,7.7,3184,1,1,1,50,51,1930,Southern Metropolitan,8989,520000
Elwood,3,t,hockingstuart,03-09-2016,7.7,3184,3,2,2,1170,,,Southern Metropolitan,8989,1350000
Essendon,3,h,Jellis,03-09-2016,8,3040,3,2,2,684,147,1950,Western Metropolitan,9264,1425000
Essendon,2,u,Barry,03-09-2016,8,3040,2,1,1,263,113,1980,Western Metropolitan,9264,660000
Essendon,2,u,Nelson,03-09-2016,8,3040,2,1,1,50,83,1980,Western Metropolitan,9264,550000
Essendon North,2,u,Barry,03-09-2016,9.4,3041,2,1,1,50,56,1975,Western Metropolitan,1308,396000
Fairfield,3,h,Jellis,03-09-2016,5.8,3078,3,2,0,327,144,1910,Northern Metropolitan,2970,1250000
Fitzroy,2,h,Nelson,03-09-2016,1.6,3065,2,1,0,128,,,Northern Metropolitan,5825,1000000
Fitzroy,3,h,Nelson,03-09-2016,1.6,3065,3,2,2,50,137,2004,Northern Metropolitan,5825,1252000
Fitzroy North,2,u,Woodards,03-09-2016,3.5,3068,2,2,1,4332,85,2010,Northern Metropolitan,6244,700000
Fitzroy North,2,h,Woodards,03-09-2016,3.5,3068,2,1,0,104,70,1880,Northern Metropolitan,6244,860000
Fitzroy North,2,h,Nelson,03-09-2016,3.5,3068,2,1,0,107,64,1910,Northern Metropolitan,6244,870000
Fitzroy North,2,h,Nelson,03-09-2016,3.5,3068,3,1,0,152,,,Northern Metropolitan,6244,1116000
Fitzroy North,4,h,Nelson,03-09-2016,3.5,3068,4,2,1,266,175,1950,Northern Metropolitan,6244,1450000
Fitzroy North,2,t,Nelson,03-09-2016,3.5,3068,2,3,0,2778,3558,,Northern Metropolitan,6244,930000
Flemington,2,h,Nelson,03-09-2016,4.4,3031,2,1,1,168,,,Northern Metropolitan,3593,865500
Footscray,3,t,Nelson,03-09-2016,6.4,3011,3,1,1,259,,,Western Metropolitan,7570,585000
Footscray,1,u,Burnham,03-09-2016,6.4,3011,1,1,0,50,,2007,Western Metropolitan,7570,85000
Glen Iris,3,h,hockingstuart,03-09-2016,9.2,3146,3,2,3,680,170,1935,Southern Metropolitan,10412,1735000
Glen Iris,2,u,Noel,03-09-2016,9.2,3146,,,,,,,Southern Metropolitan,10412,490000
Glen Iris,2,h,Jellis,03-09-2016,9.2,3146,3,1,2,653,,,Southern Metropolitan,10412,1699000
Glen Iris,4,h,Kay,03-09-2016,9.2,3146,4,3,2,856,265,1920,Southern Metropolitan,10412,3400000
Glen Iris,5,h,Abercromby's,03-09-2016,9.2,3146,4,3,2,919,353,1925,Southern Metropolitan,10412,3730000
Glenroy,3,t,Stockdale,03-09-2016,13,3046,,,,,,,Northern Metropolitan,8870,585000
Glenroy,3,h,Ray,03-09-2016,13,3046,3,1,2,696,118,1960,Northern Metropolitan,8870,610000
Glenroy,3,t,Brad,03-09-2016,13,3046,,,,,,,Northern Metropolitan,8870,480000
Glenroy,3,h,Barry,03-09-2016,13,3046,,,,,,,Northern Metropolitan,8870,681500
Glenroy,3,h,Nelson,03-09-2016,13,3046,,,,,,,Northern Metropolitan,8870,640000
Glenroy,3,h,Eview,03-09-2016,13,3046,,,,,,,Northern Metropolitan,8870,712000
Gowanbrae,3,h,Nelson,03-09-2016,13.6,3043,3,2,2,608,138,2001,Western Metropolitan,1071,631000
Gowanbrae,3,t,Nelson,03-09-2016,13.6,3043,3,2,1,149,19,2005,Western Metropolitan,1071,532000
Hadfield,3,h,hockingstuart,03-09-2016,12.1,3046,3,1,2,597,116,1960,Northern Metropolitan,2606,605000
Hadfield,3,h,Stockdale,03-09-2016,12.1,3046,,,,,,,Northern Metropolitan,2606,570000
Hadfield,3,h,Brad,03-09-2016,12.1,3046,3,1,2,724,103,1970,Northern Metropolitan,2606,685500
Hampton,2,u,hockingstuart,03-09-2016,13.7,3188,2,1,1,228,87,1975,Southern Metropolitan,5454,895000
Hampton,2,u,Ray,03-09-2016,13.7,3188,2,1,1,50,74,1975,Southern Metropolitan,5454,587000
Hampton,4,h,Nick,03-09-2016,13.7,3188,3,3,2,701,320,2015,Southern Metropolitan,5454,2800000
Hampton,2,u,Buxton,03-09-2016,13.7,3188,2,1,1,832,,,Southern Metropolitan,5454,720000
Hampton,4,h,hockingstuart,03-09-2016,13.7,3188,4,3,2,928,300,1904,Southern Metropolitan,5454,3250000
Hampton East,4,h,Marshall,03-09-2016,14.5,3188,,,,,,,Southern Metropolitan,2356,1525000
Hawthorn,4,h,Jellis,03-09-2016,4.6,3122,4,2,2,317,210,2005,Southern Metropolitan,11308,1650000
Heidelberg Heights,2,h,Fletchers,03-09-2016,10.5,3081,2,1,2,589,120,1930,Eastern Metropolitan,2947,815000
Heidelberg West,5,h,Nelson,03-09-2016,9.4,3081,3,2,2,415,,,Eastern Metropolitan,2674,765000
Heidelberg West,3,h,Haughton,03-09-2016,9.4,3081,2,1,2,624,86,1965,Eastern Metropolitan,2674,691000
Hughesdale,2,h,Woodards,03-09-2016,13,3166,2,1,1,732,97,1950,Southern Metropolitan,3145,1550000
Hughesdale,2,u,Ray,03-09-2016,13,3166,2,1,1,50,76,1970,Southern Metropolitan,3145,516000
Ivanhoe,2,u,Miles,03-09-2016,7.9,3079,2,1,1,50,,,Eastern Metropolitan,5549,480000
Keilor East,3,h,Nelson,03-09-2016,12.8,3033,3,2,2,683,200,1995,Western Metropolitan,5629,703000
Keilor East,3,h,Nelson,03-09-2016,12.8,3033,,,,,,,Western Metropolitan,5629,680000
Keilor East,3,h,Barry,03-09-2016,12.8,3033,3,1,1,538,104,1970,Western Metropolitan,5629,650000
Kensington,3,h,Nelson,03-09-2016,4.2,3031,2,1,1,258,64,,Northern Metropolitan,5263,785000
Kensington,3,h,Nelson,03-09-2016,4.2,3031,3,1,1,166,138,2000,Northern Metropolitan,5263,852000
Kensington,3,h,Rendina,03-09-2016,4.2,3031,3,1,1,188,106,1910,Northern Metropolitan,5263,1037000
Kew,3,h,Jellis,03-09-2016,5.6,3101,3,1,2,396,,1990,Southern Metropolitan,10331,1635000
Kew,2,h,Jellis,03-09-2016,5.6,3101,2,2,1,697,,,Southern Metropolitan,10331,4800000
Kew,3,u,Jellis,03-09-2016,5.6,3101,,,,,,,Southern Metropolitan,10331,970000
Kew,5,h,Jellis,03-09-2016,5.6,3101,,,,,,,Southern Metropolitan,10331,6240000
Kew East,4,h,Marshall,03-09-2016,7.5,3102,,,,,,,Southern Metropolitan,2671,2040000
Kew East,4,h,Marshall,03-09-2016,7.5,3102,3,2,2,712,14,,Southern Metropolitan,2671,2490000
Kew East,2,u,Nelson,03-09-2016,7.5,3102,2,1,1,50,,1970,Southern Metropolitan,2671,620000
Maidstone,3,h,Sweeney,03-09-2016,9.2,3012,3,1,3,564,,,Western Metropolitan,3873,670000
Maidstone,3,t,Jas,03-09-2016,9.2,3012,3,2,2,165,161,2007,Western Metropolitan,3873,615000
Maidstone,3,h,Burnham,03-09-2016,9.2,3012,3,1,1,576,128,1970,Western Metropolitan,3873,715000
Maidstone,4,h,Rendina,03-09-2016,9.2,3012,4,2,2,308,185,2012,Western Metropolitan,3873,826000
Malvern,3,h,Jellis,03-09-2016,7.4,3144,,,,,,,Southern Metropolitan,4675,2500000
Malvern,4,h,Jellis,03-09-2016,7.4,3144,,,,,,,Southern Metropolitan,4675,3850000
Malvern East,3,h,Marshall,03-09-2016,11.2,3145,3,1,1,322,137,1910,Southern Metropolitan,8801,1490000
Malvern East,3,h,Marshall,03-09-2016,11.2,3145,3,2,1,337,146,1993,Southern Metropolitan,8801,1210000
Malvern East,4,h,J,03-09-2016,11.2,3145,3,2,2,644,,,Southern Metropolitan,8801,1300000
Malvern East,4,h,Thomson,03-09-2016,11.2,3145,3,2,4,727,,,Southern Metropolitan,8801,1675000
Melbourne,1,u,RT,03-09-2016,2.8,3000,,,,,,,Northern Metropolitan,17496,400000
Middle Park,3,h,Cayzer,03-09-2016,4.1,3206,3,1,1,279,133,1900,Southern Metropolitan,2019,2600000
Mont Albert,2,h,Lindellas,03-09-2016,11.8,3127,2,1,1,613,115,1950,Eastern Metropolitan,2079,1320000
Mont Albert,4,h,Jellis,03-09-2016,11.8,3127,4,2,2,1388,,,Eastern Metropolitan,2079,2850000
Moonee Ponds,3,u,Nelson,03-09-2016,6.9,3039,3,2,2,50,120,2000,Western Metropolitan,6232,670000
Moorabbin,3,h,Buxton,03-09-2016,14.6,3189,3,1,3,834,143,1960,Southern Metropolitan,2555,1224000
Moorabbin,3,h,Buxton,03-09-2016,14.6,3189,3,1,3,771,,,Southern Metropolitan,2555,1020000
Moorabbin,3,h,O'Brien,03-09-2016,14.6,3189,3,2,2,573,150,1970,Southern Metropolitan,2555,1000000
Moorabbin,1,u,Ray,03-09-2016,14.6,3189,1,1,1,106,51,1990,Southern Metropolitan,2555,380500
Newport,3,h,Sweeney,03-09-2016,8.4,3015,3,2,2,301,195,,Western Metropolitan,5498,1025000
Newport,3,h,Village,03-09-2016,8.4,3015,2,1,2,281,100,1957,Western Metropolitan,5498,826000
Niddrie,3,t,Barry,03-09-2016,11.2,3042,3,3,2,303,236,2013,Western Metropolitan,2291,830000
Niddrie,4,t,Barry,03-09-2016,11.2,3042,,,,,,,Western Metropolitan,2291,1065000
Niddrie,3,h,McDonald,03-09-2016,11.2,3042,3,2,2,274,,,Western Metropolitan,2291,780000
Niddrie,3,h,Brad,03-09-2016,11.2,3042,,,,,,,Western Metropolitan,2291,950000
Niddrie,3,h,Brad,03-09-2016,11.2,3042,,,,,,,Western Metropolitan,2291,950000
North Melbourne,4,h,Nelson,03-09-2016,2.3,3051,4,3,4,310,276,1880,Northern Metropolitan,6821,2920000
North Melbourne,3,h,Nelson,03-09-2016,2.3,3051,2,1,0,517,,,Northern Metropolitan,6821,1635000
North Melbourne,1,u,Nelson,03-09-2016,2.3,3051,1,1,1,50,,,Northern Metropolitan,6821,491000
Northcote,2,h,McGrath,03-09-2016,5.5,3070,2,1,1,245,108,1890,Northern Metropolitan,11364,1286000
Northcote,3,h,Nelson,03-09-2016,5.5,3070,3,1,1,215,125,1920,Northern Metropolitan,11364,1200000
Northcote,3,h,Nelson,03-09-2016,5.5,3070,3,2,2,286,188,2007,Northern Metropolitan,11364,1382500
Northcote,2,u,McGrath,03-09-2016,5.5,3070,2,2,1,50,,,Northern Metropolitan,11364,630000
Northcote,4,h,Jellis,03-09-2016,5.5,3070,4,2,1,464,179,1910,Northern Metropolitan,11364,1600000
Oak Park,4,t,Brad,03-09-2016,11.5,3046,,,,,,,Northern Metropolitan,2651,670000
Oak Park,3,h,Nelson,03-09-2016,11.5,3046,3,1,3,757,,,Northern Metropolitan,2651,892000
Oak Park,2,h,Barry,03-09-2016,11.5,3046,2,1,2,577,,,Northern Metropolitan,2651,592000
Oakleigh South,4,h,Woodards,03-09-2016,14.7,3167,,,,,,,South-Eastern Metropolitan,3692,991000
Oakleigh South,2,h,Buxton,03-09-2016,14.7,3167,,,,,,,South-Eastern Metropolitan,3692,1242000
Oakleigh South,2,t,Buxton,03-09-2016,14.7,3167,,,,,,,South-Eastern Metropolitan,3692,665000
Oakleigh South,3,t,Fletchers,03-09-2016,14.7,3167,3,2,1,189,123,,South-Eastern Metropolitan,3692,680000
Parkville,4,h,Nelson,03-09-2016,2.6,3052,4,2,2,357,249,2009,Northern Metropolitan,2309,1230000
Pascoe Vale,3,h,Brad,03-09-2016,9.9,3044,2,1,2,100,141,1950,Northern Metropolitan,7485,1120000
Pascoe Vale,3,h,Nelson,03-09-2016,9.9,3044,3,1,4,560,120,1960,Northern Metropolitan,7485,770000
Port Melbourne,2,u,Biggin,03-09-2016,3.8,3207,2,2,1,50,,,Southern Metropolitan,8648,1100000
Port Melbourne,2,u,Greg,03-09-2016,3.8,3207,,,,,,,Southern Metropolitan,8648,650000
Port Melbourne,3,h,Marshall,03-09-2016,3.8,3207,,,,,,,Southern Metropolitan,8648,1681000
Prahran,2,u,Hodges,03-09-2016,4.5,3181,2,1,1,50,,,Southern Metropolitan,7717,650000
Prahran,1,u,hockingstuart,03-09-2016,4.5,3181,1,1,1,50,34,1960,Southern Metropolitan,7717,342000
Prahran,4,h,Marshall,03-09-2016,4.5,3181,,,,,,,Southern Metropolitan,7717,2680000
Prahran,2,h,hockingstuart,03-09-2016,4.5,3181,2,1,1,88,121,2000,Southern Metropolitan,7717,950000
Prahran,2,u,Wilson,03-09-2016,4.5,3181,2,1,1,50,73,1930,Southern Metropolitan,7717,781000
Preston,3,h,Harcourts,03-09-2016,8.8,3072,3,1,2,644,141,1980,Northern Metropolitan,14577,1250000
Preston,3,h,Ray,03-09-2016,8.8,3072,3,1,2,584,,,Northern Metropolitan,14577,855000
Preston,4,h,Ray,03-09-2016,8.8,3072,4,2,2,604,180,1920,Northern Metropolitan,14577,930000
Preston,4,h,Nelson,03-09-2016,8.8,3072,4,2,1,530,,1940,Northern Metropolitan,14577,900000
Preston,3,h,Barry,03-09-2016,8.8,3072,,,,,,,Northern Metropolitan,14577,1030000
Preston,4,h,Nelson,03-09-2016,8.8,3072,3,0,0,650,,,Northern Metropolitan,14577,1004000
Preston,2,u,hockingstuart,03-09-2016,8.8,3072,,,,,,,Northern Metropolitan,14577,540000
Preston,3,h,Barry,03-09-2016,8.8,3072,3,1,2,518,,,Northern Metropolitan,14577,930000
Reservoir,3,u,Barry,03-09-2016,11.2,3073,,,,,,,Northern Metropolitan,21650,666000
Reservoir,3,u,Ray,03-09-2016,11.2,3073,3,1,1,191,107,1990,Northern Metropolitan,21650,475000
Reservoir,3,h,Nelson,03-09-2016,11.2,3073,,,,,,,Northern Metropolitan,21650,738000
Reservoir,2,t,Barry,03-09-2016,11.2,3073,,,,,,,Northern Metropolitan,21650,355000
Reservoir,3,h,Stockdale,03-09-2016,11.2,3073,,,,,,,Northern Metropolitan,21650,590000
Reservoir,2,u,Ray,03-09-2016,11.2,3073,2,1,1,189,84,2012,Northern Metropolitan,21650,415000
Reservoir,2,h,Nelson,03-09-2016,11.2,3073,,,,,,,Northern Metropolitan,21650,428000
Richmond,2,h,Biggin,03-09-2016,2.6,3121,2,1,1,125,103,1950,Northern Metropolitan,14949,937000
Richmond,3,h,Biggin,03-09-2016,2.6,3121,2,1,0,203,81,1900,Northern Metropolitan,14949,1260000
Richmond,3,h,Biggin,03-09-2016,2.6,3121,,,,,,,Northern Metropolitan,14949,1820000
Richmond,3,t,Jellis,03-09-2016,2.6,3121,3,2,1,675,,,Northern Metropolitan,14949,1236000
Richmond,2,u,LITTLE,03-09-2016,2.6,3121,2,2,1,656,,,Northern Metropolitan,14949,540000
Richmond,2,u,hockingstuart,03-09-2016,2.6,3121,2,1,2,50,85,1997,Northern Metropolitan,14949,795250
Richmond,2,u,Biggin,03-09-2016,2.6,3121,2,1,1,50,75,2001,Northern Metropolitan,14949,582000
Richmond,1,u,Domain,03-09-2016,2.6,3121,1,1,1,50,,,Northern Metropolitan,14949,500000
Rosanna,5,h,Nelson,03-09-2016,11.4,3084,4,2,1,629,207,1960,Eastern Metropolitan,3540,1101500
Seddon,3,h,Burnham,03-09-2016,6.6,3011,3,1,1,350,116,1890,Western Metropolitan,2417,1145000
South Melbourne,2,u,Dingle,03-09-2016,2.1,3205,2,2,1,50,83,2012,Southern Metropolitan,5943,593000
South Melbourne,4,h,Marshall,03-09-2016,2.1,3205,,,,,,,Southern Metropolitan,5943,2000000
South Melbourne,3,h,Marshall,03-09-2016,2.1,3205,3,2,1,88,93,1890,Southern Metropolitan,5943,1600000
South Yarra,2,u,Jellis,03-09-2016,3.3,3141,,,,,,,Southern Metropolitan,14887,531000
South Yarra,2,u,Kay,03-09-2016,3.3,3141,,,,,,,Southern Metropolitan,14887,788750
South Yarra,1,u,hockingstuart,03-09-2016,3.3,3141,2,1,1,50,,1970,Southern Metropolitan,14887,430000
South Yarra,2,u,Jellis,03-09-2016,3.3,3141,2,1,1,50,86,2003,Southern Metropolitan,14887,722000
South Yarra,2,u,hockingstuart,03-09-2016,3.3,3141,2,2,2,50,,2000,Southern Metropolitan,14887,930000
South Yarra,1,u,McGrath,03-09-2016,3.3,3141,1,1,1,50,,,Southern Metropolitan,14887,467500
South Yarra,2,u,Buxton,03-09-2016,3.3,3141,2,1,0,50,,,Southern Metropolitan,14887,475000
Southbank,3,u,VICPROP,03-09-2016,1.2,3006,3,1,1,50,106,1993,Southern Metropolitan,8400,720000
Spotswood,3,h,hockingstuart,03-09-2016,7.7,3015,3,1,3,690,,1950,Western Metropolitan,1223,1040000
St Kilda,2,u,hockingstuart,03-09-2016,6.1,3182,2,1,1,50,,,Southern Metropolitan,13240,509000
St Kilda,4,h,hockingstuart,03-09-2016,6.1,3182,,,,,,,Southern Metropolitan,13240,2400000
St Kilda,1,u,McGrath,03-09-2016,6.1,3182,1,1,1,50,50,1960,Southern Metropolitan,13240,380000
St Kilda,2,u,Gary,03-09-2016,6.1,3182,,,,,,,Southern Metropolitan,13240,502000
Strathmore,3,h,Considine,03-09-2016,9.7,3041,3,2,2,662,,,Western Metropolitan,3284,905000
Strathmore,4,h,Frank,03-09-2016,9.7,3041,,,,,,,Western Metropolitan,3284,1055000
Strathmore,4,h,Nelson,03-09-2016,9.7,3041,,,,,,,Western Metropolitan,3284,1390000
Strathmore,4,h,Considine,03-09-2016,9.7,3041,4,2,2,699,,,Western Metropolitan,3284,1052000
Sunshine,3,h,GL,03-09-2016,12.6,3020,,,,,,,Western Metropolitan,3755,670000
Sunshine,2,u,Douglas,03-09-2016,12.6,3020,2,1,1,79,,,Western Metropolitan,3755,260000
Sunshine North,3,h,Douglas,03-09-2016,13.3,3020,,,,,,,Western Metropolitan,4217,650000
Sunshine North,4,h,Barry,03-09-2016,13.3,3020,4,1,1,683,,,Western Metropolitan,4217,716000
Sunshine West,4,h,Sweeney,03-09-2016,13.5,3020,,,,,,,Western Metropolitan,6763,661000
Sunshine West,3,h,Barry,03-09-2016,13.5,3020,3,1,2,780,,,Western Metropolitan,6763,496000
Surrey Hills,4,h,Marshall,03-09-2016,11.2,3127,4,3,2,596,264,1930,Southern Metropolitan,5457,2440000
