stock,date,price
AAPL,09-12-2013,80.9185
AAPL,10-12-2013,80.7928
AAPL,11-12-2013,80.1942
AAPL,12-12-2013,80.0771
AAPL,13-12-2013,79.2042
AAPL,16-12-2013,79.6428
AAPL,17-12-2013,79.2842
AAPL,18-12-2013,78.6813
AAPL,19-12-2013,77.7799
AAPL,20-12-2013,78.4314
AAPL,23-12-2013,81.4413
AAPL,24-12-2013,81.0956
AAPL,26-12-2013,80.5571
AAPL,27-12-2013,80.0128
AAPL,30-12-2013,79.2171
AAPL,31-12-2013,80.1456
AAPL,02-01-2014,79.0185
AAPL,03-01-2014,77.2828
AAPL,06-01-2014,77.7042
AAPL,07-01-2014,77.1481
AAPL,08-01-2014,77.6371
AAPL,09-01-2014,76.6455
AAPL,10-01-2014,76.1342
AAPL,13-01-2014,76.5328
AAPL,14-01-2014,78.0556
AAPL,15-01-2014,79.6228
AAPL,16-01-2014,79.1785
AAPL,17-01-2014,77.2385
AAPL,21-01-2014,78.4385
AAPL,22-01-2014,78.7871
AAPL,23-01-2014,79.4542
AAPL,24-01-2014,78.0099
AAPL,27-01-2014,78.6428
AAPL,28-01-2014,72.3571
AAPL,29-01-2014,71.5356
AAPL,30-01-2014,71.3974
AAPL,31-01-2014,71.5142
AAPL,03-02-2014,71.6471
AAPL,04-02-2014,72.6842
AAPL,05-02-2014,73.2271
AAPL,06-02-2014,73.2156
AAPL,07-02-2014,74.2399
AAPL,10-02-2014,75.5699
AAPL,11-02-2014,76.5656
AAPL,12-02-2014,76.5599
AAPL,13-02-2014,77.7756
AAPL,14-02-2014,77.7128
AAPL,18-02-2014,77.9985
AAPL,19-02-2014,76.7671
AAPL,20-02-2014,75.8785
AAPL,21-02-2014,75.0356
AAPL,24-02-2014,75.3642
AAPL,25-02-2014,74.5799
AAPL,26-02-2014,73.9071
AAPL,27-02-2014,75.3814
AAPL,28-02-2014,75.1771
AAPL,03-03-2014,75.3942
AAPL,04-03-2014,75.8914
AAPL,05-03-2014,76.0514
AAPL,06-03-2014,75.8214
AAPL,07-03-2014,75.7771
AAPL,10-03-2014,75.8456
AAPL,11-03-2014,76.5842
AAPL,12-03-2014,76.6585
AAPL,13-03-2014,75.8071
AAPL,14-03-2014,74.9556
AAPL,17-03-2014,75.2485
AAPL,18-03-2014,75.9142
AAPL,19-03-2014,75.8942
AAPL,20-03-2014,75.5285
AAPL,21-03-2014,76.1242
AAPL,24-03-2014,77.0271
AAPL,25-03-2014,77.8556
AAPL,26-03-2014,77.1114
AAPL,27-03-2014,76.7799
AAPL,28-03-2014,76.6942
AAPL,31-03-2014,76.6771
AAPL,01-04-2014,77.3785
AAPL,02-04-2014,77.5071
AAPL,03-04-2014,76.9699
AAPL,04-04-2014,75.9742
AAPL,07-04-2014,74.7814
AAPL,08-04-2014,74.7771
AAPL,09-04-2014,75.7599
AAPL,10-04-2014,74.7828
AAPL,11-04-2014,74.2299
AAPL,14-04-2014,74.5256
AAPL,15-04-2014,73.9942
AAPL,16-04-2014,74.1442
AAPL,17-04-2014,74.9914
AAPL,21-04-2014,75.8814
AAPL,22-04-2014,75.9569
AAPL,23-04-2014,74.9642
AAPL,24-04-2014,81.1099
AAPL,25-04-2014,81.7056
AAPL,28-04-2014,84.8699
AAPL,29-04-2014,84.6185
AAPL,30-04-2014,84.2985
AAPL,01-05-2014,84.4971
AAPL,02-05-2014,84.6542
AAPL,05-05-2014,85.8513
AAPL,06-05-2014,84.9156
AAPL,07-05-2014,84.6185
AAPL,08-05-2014,83.9985
AAPL,09-05-2014,83.6488
AAPL,12-05-2014,84.6899
AAPL,13-05-2014,84.8228
AAPL,14-05-2014,84.8385
AAPL,15-05-2014,84.1171
AAPL,16-05-2014,85.3585
AAPL,19-05-2014,86.3699
AAPL,20-05-2014,86.3871
AAPL,21-05-2014,86.6156
AAPL,22-05-2014,86.7528
AAPL,23-05-2014,87.7328
AAPL,27-05-2014,89.3756
AAPL,28-05-2014,89.1442
AAPL,29-05-2014,90.7685
AAPL,30-05-2014,90.4285
AAPL,02-06-2014,89.8071
AAPL,03-06-2014,91.0771
AAPL,04-06-2014,92.1171
AAPL,05-06-2014,92.4785
AAPL,06-06-2014,92.2242
AAPL,09-06-2014,93.7
AAPL,10-06-2014,94.25
AAPL,11-06-2014,93.86
AAPL,12-06-2014,92.29
AAPL,13-06-2014,91.28
AAPL,16-06-2014,92.2
AAPL,17-06-2014,92.08
AAPL,18-06-2014,92.18
AAPL,19-06-2014,91.86
AAPL,20-06-2014,90.91
AAPL,23-06-2014,90.83
AAPL,24-06-2014,90.28
AAPL,25-06-2014,90.36
AAPL,26-06-2014,90.9
AAPL,27-06-2014,91.98
AAPL,30-06-2014,92.93
AAPL,01-07-2014,93.52
AAPL,02-07-2014,93.48
AAPL,03-07-2014,94.03
AAPL,07-07-2014,95.968
AAPL,08-07-2014,95.35
AAPL,09-07-2014,95.39
AAPL,10-07-2014,95.035
AAPL,11-07-2014,95.22
AAPL,14-07-2014,96.45
AAPL,15-07-2014,95.32
AAPL,16-07-2014,94.78
AAPL,17-07-2014,93.0899
AAPL,18-07-2014,94.43
AAPL,21-07-2014,93.939
AAPL,22-07-2014,94.72
AAPL,23-07-2014,97.19
AAPL,24-07-2014,97.03
AAPL,25-07-2014,97.671
AAPL,28-07-2014,99.02
AAPL,29-07-2014,98.38
AAPL,30-07-2014,98.15
AAPL,31-07-2014,95.6
AAPL,01-08-2014,96.13
AAPL,04-08-2014,95.59
AAPL,05-08-2014,95.12
AAPL,06-08-2014,94.96
AAPL,07-08-2014,94.48
AAPL,08-08-2014,94.74
AAPL,11-08-2014,95.99
AAPL,12-08-2014,95.97
AAPL,13-08-2014,97.24
AAPL,14-08-2014,97.5
AAPL,15-08-2014,97.98
AAPL,18-08-2014,99.16
AAPL,19-08-2014,100.53
AAPL,20-08-2014,100.57
AAPL,21-08-2014,100.58
AAPL,22-08-2014,101.32
AAPL,25-08-2014,101.54
AAPL,26-08-2014,100.889
AAPL,27-08-2014,102.13
AAPL,28-08-2014,102.25
AAPL,29-08-2014,102.5
AAPL,02-09-2014,103.3
AAPL,03-09-2014,98.94
AAPL,04-09-2014,98.12
AAPL,05-09-2014,98.97
AAPL,08-09-2014,98.36
AAPL,09-09-2014,97.99
AAPL,10-09-2014,101
AAPL,11-09-2014,101.43
AAPL,12-09-2014,101.66
AAPL,15-09-2014,101.63
AAPL,16-09-2014,100.86
AAPL,17-09-2014,101.58
AAPL,18-09-2014,101.79
AAPL,19-09-2014,100.96
AAPL,22-09-2014,101.06
AAPL,23-09-2014,102.64
AAPL,24-09-2014,101.75
AAPL,25-09-2014,97.87
AAPL,26-09-2014,100.75
AAPL,29-09-2014,100.11
AAPL,30-09-2014,100.75
AAPL,01-10-2014,99.18
AAPL,02-10-2014,99.9
AAPL,03-10-2014,99.62
AAPL,06-10-2014,99.62
AAPL,07-10-2014,98.75
AAPL,08-10-2014,100.8
AAPL,09-10-2014,101.02
AAPL,10-10-2014,100.73
AAPL,13-10-2014,99.81
AAPL,14-10-2014,98.75
AAPL,15-10-2014,97.54
AAPL,16-10-2014,96.26
AAPL,17-10-2014,97.67
AAPL,20-10-2014,99.76
AAPL,21-10-2014,102.47
AAPL,22-10-2014,102.99
AAPL,23-10-2014,104.83
AAPL,24-10-2014,105.22
AAPL,27-10-2014,105.11
AAPL,28-10-2014,106.74
AAPL,29-10-2014,107.34
AAPL,30-10-2014,106.98
AAPL,31-10-2014,108
AAPL,03-11-2014,109.4
AAPL,04-11-2014,108.6
AAPL,05-11-2014,108.86
AAPL,06-11-2014,108.7
AAPL,07-11-2014,109.01
AAPL,10-11-2014,108.83
AAPL,11-11-2014,109.7
AAPL,12-11-2014,111.25
AAPL,13-11-2014,112.82
AAPL,14-11-2014,114.18
AAPL,17-11-2014,113.99
AAPL,18-11-2014,115.47
AAPL,19-11-2014,114.67
AAPL,20-11-2014,116.31
AAPL,21-11-2014,116.47
AAPL,24-11-2014,118.625
AAPL,25-11-2014,117.6
AAPL,26-11-2014,119
AAPL,28-11-2014,118.93
AAPL,01-12-2014,115.07
AAPL,02-12-2014,114.63
AAPL,03-12-2014,115.93
AAPL,04-12-2014,115.49
AAPL,05-12-2014,115
AAPL,08-12-2014,112.4
AAPL,09-12-2014,114.12
AAPL,10-12-2014,111.95
AAPL,11-12-2014,111.62
AAPL,12-12-2014,109.73
AAPL,15-12-2014,108.225
AAPL,16-12-2014,106.745
AAPL,17-12-2014,109.41
AAPL,18-12-2014,112.65
AAPL,19-12-2014,111.78
AAPL,22-12-2014,112.94
AAPL,23-12-2014,112.54
AAPL,24-12-2014,112.01
AAPL,26-12-2014,113.99
AAPL,29-12-2014,113.91
AAPL,30-12-2014,112.52
AAPL,31-12-2014,110.38
AAPL,02-01-2015,109.33
AAPL,05-01-2015,106.25
AAPL,06-01-2015,106.26
AAPL,07-01-2015,107.75
AAPL,08-01-2015,111.89
AAPL,09-01-2015,112.01
AAPL,12-01-2015,109.25
AAPL,13-01-2015,110.22
AAPL,14-01-2015,109.8
AAPL,15-01-2015,106.82
AAPL,16-01-2015,105.99
AAPL,20-01-2015,108.72
AAPL,21-01-2015,109.55
AAPL,22-01-2015,112.4
AAPL,23-01-2015,112.98
AAPL,26-01-2015,113.1
AAPL,27-01-2015,109.14
AAPL,28-01-2015,115.31
AAPL,29-01-2015,118.9
AAPL,30-01-2015,117.16
AAPL,02-02-2015,118.63
AAPL,03-02-2015,118.65
AAPL,04-02-2015,119.56
AAPL,05-02-2015,119.94
AAPL,06-02-2015,118.93
AAPL,09-02-2015,119.72
AAPL,10-02-2015,122.02
AAPL,11-02-2015,124.88
AAPL,12-02-2015,126.46
AAPL,13-02-2015,127.08
AAPL,17-02-2015,127.83
AAPL,18-02-2015,128.715
AAPL,19-02-2015,128.45
AAPL,20-02-2015,129.495
AAPL,23-02-2015,133
AAPL,24-02-2015,132.17
AAPL,25-02-2015,128.79
AAPL,26-02-2015,130.415
AAPL,27-02-2015,128.46
AAPL,02-03-2015,129.09
AAPL,03-03-2015,129.36
AAPL,04-03-2015,128.54
AAPL,05-03-2015,126.41
AAPL,06-03-2015,126.6
AAPL,09-03-2015,127.14
AAPL,10-03-2015,124.51
AAPL,11-03-2015,122.24
AAPL,12-03-2015,124.45
AAPL,13-03-2015,123.59
AAPL,16-03-2015,124.95
AAPL,17-03-2015,127.04
AAPL,18-03-2015,128.47
AAPL,19-03-2015,127.495
AAPL,20-03-2015,125.9
AAPL,23-03-2015,127.21
AAPL,24-03-2015,126.69
AAPL,25-03-2015,123.38
AAPL,26-03-2015,124.24
AAPL,27-03-2015,123.25
AAPL,30-03-2015,126.37
AAPL,31-03-2015,124.43
AAPL,01-04-2015,124.25
AAPL,02-04-2015,125.32
AAPL,06-04-2015,127.35
AAPL,07-04-2015,126.01
AAPL,08-04-2015,125.6
AAPL,09-04-2015,126.56
AAPL,10-04-2015,127.1
AAPL,13-04-2015,126.85
AAPL,14-04-2015,126.3
AAPL,15-04-2015,126.78
AAPL,16-04-2015,126.17
AAPL,17-04-2015,124.75
AAPL,20-04-2015,127.6
AAPL,21-04-2015,126.91
AAPL,22-04-2015,128.62
AAPL,23-04-2015,129.67
AAPL,24-04-2015,130.28
AAPL,27-04-2015,132.65
AAPL,28-04-2015,130.56
AAPL,29-04-2015,128.64
AAPL,30-04-2015,125.15
AAPL,01-05-2015,128.95
AAPL,04-05-2015,128.7
AAPL,05-05-2015,125.8
AAPL,06-05-2015,125.01
AAPL,07-05-2015,125.26
AAPL,08-05-2015,127.62
AAPL,11-05-2015,126.32
AAPL,12-05-2015,125.865
AAPL,13-05-2015,126.01
AAPL,14-05-2015,128.95
AAPL,15-05-2015,128.77
AAPL,18-05-2015,130.19
AAPL,19-05-2015,130.07
AAPL,20-05-2015,130.06
AAPL,21-05-2015,131.39
AAPL,22-05-2015,132.54
AAPL,26-05-2015,129.62
AAPL,27-05-2015,132.045
AAPL,28-05-2015,131.78
AAPL,29-05-2015,130.28
AAPL,01-06-2015,130.535
AAPL,02-06-2015,129.96
AAPL,03-06-2015,130.12
AAPL,04-06-2015,129.36
AAPL,05-06-2015,128.65
AAPL,08-06-2015,127.8
AAPL,09-06-2015,127.42
AAPL,10-06-2015,128.88
AAPL,11-06-2015,128.59
AAPL,12-06-2015,127.17
AAPL,15-06-2015,126.92
AAPL,16-06-2015,127.6
AAPL,17-06-2015,127.3
AAPL,18-06-2015,127.88
AAPL,19-06-2015,126.6
AAPL,22-06-2015,127.61
AAPL,23-06-2015,127.03
AAPL,24-06-2015,128.11
AAPL,25-06-2015,127.5
AAPL,26-06-2015,126.75
AAPL,29-06-2015,124.53
AAPL,30-06-2015,125.425
AAPL,01-07-2015,126.6
AAPL,02-07-2015,126.44
AAPL,06-07-2015,126
AAPL,07-07-2015,125.69
AAPL,08-07-2015,122.57
AAPL,09-07-2015,120.07
AAPL,10-07-2015,123.28
AAPL,13-07-2015,125.66
AAPL,14-07-2015,125.61
AAPL,15-07-2015,126.82
AAPL,16-07-2015,128.51
AAPL,17-07-2015,129.62
AAPL,20-07-2015,132.07
AAPL,21-07-2015,130.75
AAPL,22-07-2015,125.22
AAPL,23-07-2015,125.16
AAPL,24-07-2015,124.5
AAPL,27-07-2015,122.77
AAPL,28-07-2015,123.38
AAPL,29-07-2015,122.99
AAPL,30-07-2015,122.37
AAPL,31-07-2015,121.3
AAPL,03-08-2015,118.44
AAPL,04-08-2015,114.64
AAPL,05-08-2015,115.4
AAPL,06-08-2015,115.13
AAPL,07-08-2015,115.52
AAPL,10-08-2015,119.72
AAPL,11-08-2015,113.49
AAPL,12-08-2015,115.24
AAPL,13-08-2015,115.15
AAPL,14-08-2015,115.96
AAPL,17-08-2015,117.16
AAPL,18-08-2015,116.5
AAPL,19-08-2015,115.01
AAPL,20-08-2015,112.65
AAPL,21-08-2015,105.76
AAPL,24-08-2015,103.12
AAPL,25-08-2015,103.74
AAPL,26-08-2015,109.69
AAPL,27-08-2015,112.92
AAPL,28-08-2015,113.29
AAPL,31-08-2015,112.76
AAPL,01-09-2015,107.72
AAPL,02-09-2015,112.34
AAPL,03-09-2015,110.37
AAPL,04-09-2015,109.27
AAPL,08-09-2015,112.31
AAPL,09-09-2015,110.15
AAPL,10-09-2015,112.57
AAPL,11-09-2015,114.21
AAPL,14-09-2015,115.31
AAPL,15-09-2015,116.28
AAPL,16-09-2015,116.41
AAPL,17-09-2015,113.92
AAPL,18-09-2015,113.45
AAPL,21-09-2015,115.21
AAPL,22-09-2015,113.4
AAPL,23-09-2015,114.32
AAPL,24-09-2015,115
AAPL,25-09-2015,114.71
AAPL,28-09-2015,112.44
AAPL,29-09-2015,109.06
AAPL,30-09-2015,110.3
AAPL,01-10-2015,109.58
AAPL,02-10-2015,110.38
AAPL,05-10-2015,110.78
AAPL,06-10-2015,111.31
AAPL,07-10-2015,110.78
AAPL,08-10-2015,109.5
AAPL,09-10-2015,112.12
AAPL,12-10-2015,111.6
AAPL,13-10-2015,111.79
AAPL,14-10-2015,110.21
AAPL,15-10-2015,111.86
AAPL,16-10-2015,111.04
AAPL,19-10-2015,111.73
AAPL,20-10-2015,113.77
AAPL,21-10-2015,113.76
AAPL,22-10-2015,115.5
AAPL,23-10-2015,119.08
AAPL,26-10-2015,115.28
AAPL,27-10-2015,114.55
AAPL,28-10-2015,119.27
AAPL,29-10-2015,120.53
AAPL,30-10-2015,119.5
AAPL,02-11-2015,121.18
AAPL,03-11-2015,122.57
AAPL,04-11-2015,122
AAPL,05-11-2015,120.92
AAPL,06-11-2015,121.06
AAPL,09-11-2015,120.57
AAPL,10-11-2015,116.77
AAPL,11-11-2015,116.11
AAPL,12-11-2015,115.72
AAPL,13-11-2015,112.34
AAPL,16-11-2015,114.175
AAPL,17-11-2015,113.69
AAPL,18-11-2015,117.29
AAPL,19-11-2015,118.78
AAPL,20-11-2015,119.3
AAPL,23-11-2015,117.75
AAPL,24-11-2015,118.88
AAPL,25-11-2015,118.03
AAPL,27-11-2015,117.81
AAPL,30-11-2015,118.3
AAPL,01-12-2015,117.34
AAPL,02-12-2015,116.28
AAPL,03-12-2015,115.2
AAPL,04-12-2015,119.03
AAPL,07-12-2015,118.28
AAPL,08-12-2015,118.23
AAPL,09-12-2015,115.62
AAPL,10-12-2015,116.17
AAPL,11-12-2015,113.18
AAPL,14-12-2015,112.48
AAPL,15-12-2015,110.49
AAPL,16-12-2015,111.34
AAPL,17-12-2015,108.98
AAPL,18-12-2015,106.03
AAPL,21-12-2015,107.33
AAPL,22-12-2015,107.23
AAPL,23-12-2015,108.61
AAPL,24-12-2015,108.03
AAPL,28-12-2015,106.82
AAPL,29-12-2015,108.74
AAPL,30-12-2015,107.32
AAPL,31-12-2015,105.26
AAPL,04-01-2016,105.35
AAPL,05-01-2016,102.71
AAPL,06-01-2016,100.7
AAPL,07-01-2016,96.45
AAPL,08-01-2016,96.96
AAPL,11-01-2016,98.53
AAPL,12-01-2016,99.96
AAPL,13-01-2016,97.39
AAPL,14-01-2016,99.52
AAPL,15-01-2016,97.13
AAPL,19-01-2016,96.66
AAPL,20-01-2016,96.79
AAPL,21-01-2016,96.3
AAPL,22-01-2016,101.42
AAPL,25-01-2016,99.44
AAPL,26-01-2016,99.99
AAPL,27-01-2016,93.42
AAPL,28-01-2016,94.09
AAPL,29-01-2016,97.34
AAPL,01-02-2016,96.43
AAPL,02-02-2016,94.48
AAPL,03-02-2016,96.35
AAPL,04-02-2016,96.6
AAPL,05-02-2016,94.02
AAPL,08-02-2016,95.01
AAPL,09-02-2016,94.99
AAPL,10-02-2016,94.27
AAPL,11-02-2016,93.7
AAPL,12-02-2016,93.99
AAPL,16-02-2016,96.64
AAPL,17-02-2016,98.12
AAPL,18-02-2016,96.26
AAPL,19-02-2016,96.04
AAPL,22-02-2016,96.88
AAPL,23-02-2016,94.69
AAPL,24-02-2016,96.1
AAPL,25-02-2016,96.76
AAPL,26-02-2016,96.91
AAPL,29-02-2016,96.69
AAPL,01-03-2016,100.53
AAPL,02-03-2016,100.75
AAPL,03-03-2016,101.5
AAPL,04-03-2016,103.01
AAPL,07-03-2016,101.87
AAPL,08-03-2016,101.03
AAPL,09-03-2016,101.12
AAPL,10-03-2016,101.17
AAPL,11-03-2016,102.26
AAPL,14-03-2016,102.52
AAPL,15-03-2016,104.58
AAPL,16-03-2016,105.97
AAPL,17-03-2016,105.8
AAPL,18-03-2016,105.92
AAPL,21-03-2016,105.91
AAPL,22-03-2016,106.72
AAPL,23-03-2016,106.13
AAPL,24-03-2016,105.67
AAPL,28-03-2016,105.19
AAPL,29-03-2016,107.68
AAPL,30-03-2016,109.56
AAPL,31-03-2016,108.99
AAPL,01-04-2016,109.99
AAPL,04-04-2016,111.12
AAPL,05-04-2016,109.81
AAPL,06-04-2016,110.96
AAPL,07-04-2016,108.54
AAPL,08-04-2016,108.66
AAPL,11-04-2016,109.02
AAPL,12-04-2016,110.44
AAPL,13-04-2016,112.04
AAPL,14-04-2016,112.1
AAPL,15-04-2016,109.85
AAPL,18-04-2016,107.48
AAPL,19-04-2016,106.91
AAPL,20-04-2016,107.13
AAPL,21-04-2016,105.97
AAPL,22-04-2016,105.68
AAPL,25-04-2016,105.08
AAPL,26-04-2016,104.35
AAPL,27-04-2016,97.82
AAPL,28-04-2016,94.83
AAPL,29-04-2016,93.74
AAPL,02-05-2016,93.64
AAPL,03-05-2016,95.18
AAPL,04-05-2016,94.19
AAPL,05-05-2016,93.24
AAPL,06-05-2016,92.72
AAPL,09-05-2016,92.79
AAPL,10-05-2016,93.42
AAPL,11-05-2016,92.51
AAPL,12-05-2016,90.34
AAPL,13-05-2016,90.52
AAPL,16-05-2016,93.88
AAPL,17-05-2016,93.49
AAPL,18-05-2016,94.56
AAPL,19-05-2016,94.2
AAPL,20-05-2016,95.22
AAPL,23-05-2016,96.43
AAPL,24-05-2016,97.9
AAPL,25-05-2016,99.62
AAPL,26-05-2016,100.41
AAPL,27-05-2016,100.35
AAPL,31-05-2016,99.86
AAPL,01-06-2016,98.46
AAPL,02-06-2016,97.72
AAPL,03-06-2016,97.92
AAPL,06-06-2016,98.63
AAPL,07-06-2016,99.03
AAPL,08-06-2016,98.94
AAPL,09-06-2016,99.65
AAPL,10-06-2016,98.83
AAPL,13-06-2016,97.34
AAPL,14-06-2016,97.46
AAPL,15-06-2016,97.14
AAPL,16-06-2016,97.55
AAPL,17-06-2016,95.33
AAPL,20-06-2016,95.1
AAPL,21-06-2016,95.91
AAPL,22-06-2016,95.55
AAPL,23-06-2016,96.1
AAPL,24-06-2016,93.4
AAPL,27-06-2016,92.04
AAPL,28-06-2016,93.59
AAPL,29-06-2016,94.4
